customerid,age,gender,frequencyofpurchases,purchaseamount,interactiontype,subscriptionstatus,promocodeused,previouspurchases,timestamp
931,26,Male,Bi-Weekly,78,Unk,Yes,Yes,20,N
932,24,Male,Fortnightly,36,Unk,Yes,Yes,24,N
933,62,Male,Bi-Weekly,24,Unk,Yes,Yes,45,N
934,70,Male,Monthly,84,Unk,Yes,Yes,33,N
935,45,Male,Monthly,47,Unk,Yes,Yes,21,N
936,58,Male,Fortnightly,51,Unk,Yes,Yes,2,N
937,31,Male,Weekly,84,Unk,Yes,Yes,28,N
938,32,Male,Quarterly,24,Unk,Yes,Yes,18,N
939,36,Male,Fortnightly,97,Unk,Yes,Yes,21,N
940,25,Male,Monthly,89,Unk,Yes,Yes,24,N
941,48,Male,Every 3 Months,44,Unk,Yes,Yes,15,N
942,39,Male,Every 3 Months,35,purchase,Yes,Yes,38,2023-12-16
943,26,Male,Bi-Weekly,91,view,Yes,Yes,38,2023-12-17
944,32,Male,Fortnightly,63,like,Yes,Yes,13,2023-12-18
945,54,Male,Bi-Weekly,97,view,Yes,Yes,39,2023-12-19
946,38,Male,Every 3 Months,38,like,Yes,Yes,8,2023-12-20
947,46,Male,Quarterly,24,like,Yes,Yes,4,2023-12-21
948,57,Male,Every 3 Months,32,purchase,Yes,Yes,6,2023-12-22
949,49,Male,Every 3 Months,90,view,Yes,Yes,11,2023-12-23
950,33,Male,Monthly,36,like,Yes,Yes,49,2023-12-24
951,54,Male,Quarterly,37,purchase,Yes,Yes,30,2023-12-25
952,47,Male,Monthly,51,purchase,Yes,Yes,34,2023-12-26
953,36,Male,Monthly,71,view,Yes,Yes,28,2023-12-27
954,68,Male,Quarterly,50,like,Yes,Yes,36,2023-12-28
955,60,Male,Every 3 Months,74,view,Yes,Yes,18,2023-01-01
956,55,Male,Monthly,75,like,Yes,Yes,4,2022-12-28
957,29,Male,Quarterly,99,like,Yes,Yes,42,2022-12-29
958,38,Male,Quarterly,23,purchase,Yes,Yes,11,2022-12-30
959,70,Male,Bi-Weekly,53,view,Yes,Yes,31,2022-12-31
960,36,Male,Fortnightly,99,like,Yes,Yes,12,2023-01-01
961,18,Male,Quarterly,48,purchase,Yes,Yes,20,2023-01-02
962,62,Male,Quarterly,72,purchase,Yes,Yes,37,2023-01-03
963,29,Male,Fortnightly,64,view,Yes,Yes,26,2023-01-04
964,21,Male,Weekly,63,like,Yes,Yes,14,2023-01-05
965,42,Male,Bi-Weekly,51,view,Yes,Yes,12,2023-01-06
966,43,Male,Annually,55,like,Yes,Yes,10,2023-01-07
967,58,Male,Annually,55,like,Yes,Yes,19,2023-01-08
968,27,Male,Weekly,26,purchase,Yes,Yes,4,2023-01-09
969,57,Male,Quarterly,67,view,Yes,Yes,48,2023-01-10
970,40,Male,Monthly,31,like,Yes,Yes,37,2023-01-11
971,45,Male,Monthly,66,purchase,Yes,Yes,4,2023-01-12
972,47,Male,Weekly,67,purchase,Yes,Yes,15,2023-01-13
973,61,Male,Weekly,61,view,Yes,Yes,33,2023-01-14
974,60,Male,Quarterly,75,like,Yes,Yes,30,2023-01-15
975,69,Male,Monthly,90,view,Yes,Yes,23,2023-01-16
976,58,Male,Weekly,40,like,Yes,Yes,2,2023-01-17
977,34,Male,Every 3 Months,90,like,Yes,Yes,50,2023-01-18
978,20,Male,Bi-Weekly,20,purchase,Yes,Yes,34,2023-01-19
979,56,Male,Weekly,40,view,Yes,Yes,33,2023-01-20
980,64,Male,Monthly,33,like,Yes,Yes,34,2023-01-21
981,56,Male,Every 3 Months,98,purchase,Yes,Yes,39,2023-01-22
982,27,Male,Quarterly,42,purchase,Yes,Yes,47,2023-01-23
983,35,Male,Monthly,62,view,Yes,Yes,37,2023-01-24
984,24,Male,Bi-Weekly,45,like,Yes,Yes,40,2023-10-10
985,26,Male,Bi-Weekly,78,view,Yes,Yes,8,2023-10-11
986,32,Male,Annually,80,like,Yes,Yes,12,2023-10-12
987,54,Male,Monthly,96,like,Yes,Yes,36,2023-10-13
988,62,Male,Weekly,47,purchase,Yes,Yes,48,2023-10-14
989,50,Male,Fortnightly,84,view,Yes,Yes,47,2023-10-15
990,70,Male,Monthly,31,like,Yes,Yes,2,2023-10-16
991,48,Male,Weekly,63,purchase,Yes,Yes,24,2023-10-17
992,20,Male,Bi-Weekly,97,purchase,Yes,Yes,40,2023-10-18
993,46,Male,Weekly,99,view,Yes,Yes,50,2023-10-19
994,51,Male,Weekly,90,like,Yes,Yes,25,2023-10-20
995,53,Male,Monthly,68,view,Yes,Yes,20,2023-10-21
996,44,Male,Weekly,80,purchase,Yes,Yes,10,2023-10-22
997,29,Male,Quarterly,91,view,Yes,Yes,32,2023-10-23
998,64,Male,Fortnightly,30,like,Yes,Yes,31,2023-10-24
999,51,Male,Bi-Weekly,90,view,Yes,Yes,48,2023-10-25
1000,50,Male,Monthly,28,like,Yes,Yes,23,2023-10-26
1001,43,Male,Bi-Weekly,46,like,Yes,Yes,1,2023-10-27
1002,61,Male,Fortnightly,60,purchase,Yes,Yes,4,2023-10-28
1003,55,Male,Bi-Weekly,59,view,Yes,Yes,3,2023-10-29
1004,56,Male,Bi-Weekly,68,like,Yes,Yes,3,2023-10-30
1005,33,Male,Annually,79,purchase,Yes,Yes,44,2023-10-31
1006,43,Male,Bi-Weekly,94,purchase,Yes,Yes,5,2023-11-01
1007,21,Male,Quarterly,83,view,Yes,Yes,50,2023-11-02
1008,58,Male,Annually,62,like,Yes,Yes,2,2023-11-03
1009,41,Male,Annually,85,view,Yes,Yes,29,2023-11-04
1010,39,Male,Annually,30,like,Yes,Yes,11,2023-11-05
1011,54,Male,Fortnightly,24,like,Yes,Yes,37,2023-11-06
1012,43,Male,Fortnightly,25,purchase,Yes,Yes,32,2023-11-07
1013,28,Male,Annually,37,view,Yes,Yes,27,2023-11-08
1014,59,Male,Bi-Weekly,69,like,Yes,Yes,31,2023-11-09
1015,28,Male,Fortnightly,97,purchase,Yes,Yes,36,2023-11-10
1016,68,Male,Weekly,24,purchase,Yes,Yes,34,2023-11-11
1017,20,Male,Every 3 Months,30,view,Yes,Yes,15,2023-11-12
1018,21,Male,Annually,53,like,Yes,Yes,14,2023-11-13
1019,50,Male,Weekly,70,view,Yes,Yes,46,2023-11-14
1020,32,Male,Bi-Weekly,76,like,Yes,Yes,33,2023-11-15
1021,24,Male,Annually,95,like,Yes,Yes,41,2023-11-16
1022,55,Male,Weekly,51,purchase,Yes,Yes,39,2023-11-17
1023,61,Male,Annually,41,view,Yes,Yes,7,2023-11-18
1024,61,Male,Every 3 Months,71,like,Yes,Yes,29,2023-11-19
1025,28,Male,Quarterly,66,purchase,Yes,Yes,18,2023-11-20
1026,60,Male,Annually,84,purchase,Yes,Yes,15,2023-11-21
1027,49,Male,Bi-Weekly,95,view,Yes,Yes,39,2023-10-10
1028,33,Male,Monthly,90,like,Yes,Yes,11,2023-10-11
1029,45,Male,Fortnightly,36,view,Yes,Yes,4,2023-10-12
1030,29,Male,Bi-Weekly,22,like,Yes,Yes,33,2023-10-13
1031,58,Male,Quarterly,89,like,Yes,Yes,37,2023-10-14
1032,22,Male,Quarterly,50,purchase,Yes,Yes,32,2023-10-15
1033,55,Male,Quarterly,36,view,Yes,Yes,44,2023-10-16
1034,19,Male,Quarterly,52,like,Yes,Yes,41,2023-10-17
1035,68,Male,Weekly,29,purchase,Yes,Yes,44,2023-10-18
1036,61,Male,Annually,89,purchase,Yes,Yes,32,2023-10-19
1037,68,Male,Monthly,47,view,Yes,Yes,13,2023-10-20
1038,52,Male,Quarterly,25,like,Yes,Yes,48,2023-10-21
1039,41,Male,Weekly,74,view,Yes,Yes,3,2023-10-22
1040,29,Male,Monthly,46,like,Yes,Yes,39,2023-10-23
1041,68,Male,Fortnightly,22,like,Yes,Yes,7,2023-10-24
1042,36,Male,Fortnightly,25,purchase,Yes,Yes,11,2023-10-25
1043,55,Male,Weekly,80,view,Yes,Yes,47,2023-10-26
1044,28,Male,Fortnightly,76,like,Yes,Yes,28,2023-10-27
1045,39,Male,Every 3 Months,30,purchase,Yes,Yes,17,2023-10-28
1046,54,Male,Bi-Weekly,79,like,Yes,Yes,11,2023-10-29
1047,40,Male,Annually,22,like,Yes,Yes,12,2023-10-30
1048,31,Male,Fortnightly,36,purchase,Yes,Yes,7,2023-10-31
1049,30,Male,Fortnightly,77,view,Yes,Yes,19,2023-11-01
1050,45,Male,Quarterly,33,like,Yes,Yes,24,2023-11-02
1051,48,Male,Monthly,64,view,Yes,Yes,19,2023-11-03
1052,45,Male,Annually,53,like,Yes,Yes,39,2023-11-04
1053,60,Male,Fortnightly,36,like,Yes,Yes,1,2023-11-05
1054,59,Male,Bi-Weekly,70,purchase,No,Yes,10,2023-11-06
1055,18,Male,Quarterly,96,view,No,Yes,48,2023-11-07
1056,70,Male,Annually,27,like,No,Yes,24,2023-11-08
1057,20,Male,Fortnightly,64,purchase,No,Yes,42,2023-11-09
1058,65,Male,Weekly,23,purchase,No,Yes,20,2023-11-10
1059,29,Male,Every 3 Months,33,view,No,Yes,49,2023-11-11
1060,22,Male,Monthly,34,like,No,Yes,25,2023-11-12
1061,27,Male,Every 3 Months,35,view,No,Yes,21,2023-11-13
1062,36,Male,Every 3 Months,62,like,No,Yes,12,2023-11-14
1063,59,Male,Every 3 Months,75,purchase,No,Yes,21,2023-11-15
1064,62,Male,Monthly,29,view,No,Yes,35,2023-11-16
1065,34,Male,Every 3 Months,28,like,No,Yes,42,2023-11-17
1066,59,Male,Every 3 Months,20,view,No,Yes,3,2023-11-18
1067,49,Male,Bi-Weekly,96,like,No,Yes,11,2023-11-19
1068,18,Male,Quarterly,43,like,No,Yes,22,2023-11-20
1069,55,Male,Weekly,94,purchase,No,Yes,47,2023-11-21
1070,38,Male,Every 3 Months,81,view,No,Yes,33,2023-11-22
1071,50,Male,Weekly,75,like,No,Yes,50,2023-11-23
1072,61,Male,Monthly,81,purchase,No,Yes,46,2023-11-24
1073,48,Male,Fortnightly,92,purchase,No,Yes,34,2023-11-25
1074,22,Male,Monthly,96,view,No,Yes,33,2023-11-26
1075,48,Male,Fortnightly,71,like,No,Yes,45,2023-11-27
1076,57,Male,Bi-Weekly,50,view,No,Yes,32,2023-11-28
1077,33,Male,Bi-Weekly,72,like,No,Yes,47,2023-11-29
1078,58,Male,Quarterly,28,like,No,Yes,5,2023-11-30
1079,37,Male,Fortnightly,59,purchase,No,Yes,49,2023-12-01
1080,18,Male,Monthly,33,view,No,Yes,48,2023-12-02
1081,65,Male,Every 3 Months,59,like,No,Yes,22,2023-12-03
1082,62,Male,Annually,30,purchase,No,Yes,45,2023-12-04
1083,54,Male,Quarterly,85,purchase,No,Yes,30,2023-12-05
1084,35,Male,Weekly,97,view,No,Yes,43,2023-12-06
1085,34,Male,Quarterly,36,like,No,Yes,48,2023-12-07
1086,25,Male,Fortnightly,85,view,No,Yes,23,2023-12-08
1087,53,Male,Bi-Weekly,62,like,No,Yes,27,2023-12-09
1088,45,Male,Monthly,71,purchase,No,Yes,7,2023-12-10
1089,49,Male,Weekly,21,view,No,Yes,2,2023-12-11
1090,40,Male,Bi-Weekly,61,like,No,Yes,33,2023-12-12
1091,38,Male,Fortnightly,58,view,No,Yes,27,2023-12-13
1092,44,Male,Fortnightly,80,like,No,Yes,6,2023-12-14
1093,68,Male,Quarterly,50,like,No,Yes,20,2023-12-15
1094,60,Male,Every 3 Months,48,purchase,No,Yes,46,2023-12-16
1095,25,Male,Quarterly,40,view,No,Yes,25,2023-12-17
1096,19,Male,Quarterly,34,like,No,Yes,30,2023-12-18
1097,57,Male,Annually,46,purchase,No,Yes,48,2023-12-19
1098,58,Male,Weekly,27,purchase,No,Yes,47,2023-12-20
1099,49,Male,Weekly,98,view,No,Yes,27,2023-12-21
1100,19,Male,Fortnightly,73,like,No,Yes,45,2023-12-22
1101,50,Male,Weekly,28,view,No,Yes,2,2023-12-23
1102,30,Male,Fortnightly,76,like,No,Yes,39,2023-12-24
1103,52,Male,Fortnightly,83,like,No,Yes,24,2023-12-25
1104,35,Male,Bi-Weekly,23,purchase,No,Yes,8,2023-12-26
1105,35,Male,Quarterly,28,view,No,Yes,8,2023-12-27
1106,33,Male,Every 3 Months,83,like,No,Yes,6,2023-12-28
1107,52,Male,Fortnightly,96,purchase,No,Yes,12,2023-01-01
1108,69,Male,Weekly,62,purchase,No,Yes,26,2022-12-28
1109,27,Male,Fortnightly,25,purchase,No,Yes,50,2022-12-29
1110,66,Male,Weekly,97,view,No,Yes,2,2022-12-30
1111,28,Male,Bi-Weekly,61,purchase,No,Yes,31,2022-12-31
1112,22,Male,Bi-Weekly,66,view,No,Yes,4,2023-01-01
1113,69,Male,Quarterly,67,like,No,Yes,32,2023-01-02
1114,28,Male,Bi-Weekly,80,view,No,Yes,11,2023-01-03
1115,55,Male,Every 3 Months,25,like,No,Yes,47,2023-01-04
1116,30,Male,Weekly,58,like,No,Yes,37,2023-01-05
1117,67,Male,Fortnightly,96,purchase,No,Yes,39,2023-01-06
1118,25,Male,Monthly,77,view,No,Yes,24,2023-01-07
1119,49,Male,Every 3 Months,65,like,No,Yes,11,2023-01-08
1120,34,Male,Weekly,36,purchase,No,Yes,36,2023-01-09
1121,22,Male,Monthly,84,purchase,No,Yes,40,2023-01-10
1122,63,Male,Quarterly,58,view,No,Yes,25,2023-01-11
1123,70,Male,Annually,62,like,No,Yes,12,2023-01-12
1124,36,Male,Monthly,67,view,No,Yes,38,2023-01-13
1125,42,Male,Quarterly,20,like,No,Yes,40,2023-01-14
1126,27,Male,Weekly,90,like,No,Yes,10,2023-01-15
1127,23,Male,Fortnightly,58,purchase,No,Yes,47,2023-01-16
1128,50,Male,Monthly,53,view,No,Yes,22,2023-01-17
1129,56,Male,Monthly,30,like,No,Yes,35,2023-01-18
1130,37,Male,Fortnightly,65,purchase,No,Yes,46,2023-01-19
1131,67,Male,Bi-Weekly,41,purchase,No,Yes,30,2023-01-20
1132,67,Male,Monthly,73,view,No,Yes,20,2023-01-21
1133,50,Male,Fortnightly,98,like,No,Yes,25,2023-01-22
1134,36,Male,Weekly,36,view,No,Yes,29,2023-01-23
1135,62,Male,Every 3 Months,81,like,No,Yes,2,2023-01-24
1136,65,Male,Quarterly,90,like,No,Yes,32,2023-10-10
1137,23,Male,Monthly,83,purchase,No,Yes,37,2023-10-11
1138,46,Male,Every 3 Months,91,view,No,Yes,16,2023-10-12
1139,18,Male,Fortnightly,36,like,No,Yes,32,2023-10-13
1140,58,Male,Bi-Weekly,53,purchase,No,Yes,42,2023-10-14
1141,31,Male,Every 3 Months,39,purchase,No,Yes,6,2023-10-15
1142,39,Male,Fortnightly,33,view,No,Yes,23,2023-10-16
1143,69,Male,Bi-Weekly,76,like,No,Yes,27,2023-10-17
1144,68,Male,Quarterly,23,view,No,Yes,43,2023-10-18
1145,41,Male,Fortnightly,54,like,No,Yes,25,2023-10-19
1146,31,Male,Every 3 Months,89,like,No,Yes,30,2023-10-20
1147,48,Male,Every 3 Months,38,purchase,No,Yes,7,2023-10-21
1148,59,Male,Annually,36,view,No,Yes,17,2023-10-22
1149,34,Male,Fortnightly,66,like,No,Yes,10,2023-10-23
1150,21,Male,Annually,42,purchase,No,Yes,40,2023-10-24
1151,29,Male,Bi-Weekly,36,purchase,No,Yes,50,2023-10-25
1152,41,Male,Weekly,86,view,No,Yes,24,2023-10-26
1153,62,Male,Every 3 Months,49,like,No,Yes,8,2023-10-27
1154,27,Male,Quarterly,41,view,No,Yes,6,2023-10-28
1155,49,Male,Bi-Weekly,82,like,No,Yes,44,2023-10-29
1156,67,Male,Quarterly,53,like,No,Yes,47,2023-10-30
1157,20,Male,Every 3 Months,21,purchase,No,Yes,6,2023-10-31
1158,37,Male,Quarterly,66,view,No,Yes,11,2023-11-01
1159,69,Male,Annually,89,like,No,Yes,41,2023-11-02
1160,66,Male,Every 3 Months,55,purchase,No,Yes,46,2023-11-03
1161,37,Male,Bi-Weekly,42,purchase,No,Yes,9,2023-11-04
1162,63,Male,Monthly,52,view,No,Yes,37,2023-11-05
1163,47,Male,Weekly,92,like,No,Yes,13,2023-11-06
1164,26,Male,Monthly,56,view,No,Yes,24,2023-11-07
1165,68,Male,Quarterly,96,purchase,No,Yes,47,2023-11-08
1166,51,Male,Every 3 Months,64,view,No,Yes,21,2023-11-09
1167,48,Male,Fortnightly,48,like,No,Yes,22,2023-11-10
1168,60,Male,Quarterly,83,view,No,Yes,16,2023-11-11
1169,68,Male,Fortnightly,91,like,No,Yes,37,2023-11-12
1170,25,Male,Annually,94,like,No,Yes,3,2023-11-13
1171,57,Male,Bi-Weekly,62,purchase,No,Yes,33,2023-11-14
1172,41,Male,Annually,55,view,No,Yes,15,2023-11-15
1173,59,Male,Bi-Weekly,68,like,No,Yes,42,2023-11-16
1174,44,Male,Bi-Weekly,76,purchase,No,Yes,42,2023-11-17
1175,42,Male,Bi-Weekly,31,purchase,No,Yes,19,2023-11-18
1176,35,Male,Quarterly,81,view,No,Yes,26,2023-11-19
1177,36,Male,Quarterly,83,like,No,Yes,39,2023-11-20
1178,54,Male,Monthly,21,view,No,Yes,24,2023-11-21
1179,37,Male,Annually,22,like,No,Yes,23,2023-11-22
1180,20,Male,Annually,33,like,No,Yes,44,2023-11-23
1181,23,Male,Monthly,23,purchase,No,Yes,34,2023-11-24
1182,61,Male,Quarterly,96,view,No,Yes,43,2023-11-25
1183,37,Male,Quarterly,21,like,No,Yes,45,2023-11-26
1184,23,Male,Weekly,39,purchase,No,Yes,4,2023-11-27
1185,63,Male,Annually,73,purchase,No,Yes,19,2023-11-28
1186,47,Male,Monthly,64,view,No,Yes,29,2023-11-29
1187,63,Male,Annually,68,like,No,Yes,27,2023-11-30
1188,56,Male,Every 3 Months,89,view,No,Yes,37,2023-12-01
1189,68,Male,Weekly,29,like,No,Yes,11,2023-12-02
1190,64,Male,Annually,97,like,No,Yes,28,2023-12-03
1191,62,Male,Weekly,45,purchase,No,Yes,31,2023-12-04
1192,34,Male,Quarterly,70,view,No,Yes,50,2023-12-05
1193,49,Male,Quarterly,56,like,No,Yes,42,2023-12-06
1194,40,Male,Fortnightly,55,purchase,No,Yes,18,2023-12-07
1195,50,Male,Fortnightly,46,purchase,No,Yes,6,2023-12-08
1196,25,Male,Monthly,95,view,No,Yes,33,2023-12-09
1197,30,Male,Bi-Weekly,88,like,No,Yes,13,2023-12-10
1198,54,Male,Annually,92,view,No,Yes,26,2023-12-11
1199,40,Male,Annually,49,like,No,Yes,17,2023-12-12
1200,49,Male,Weekly,89,like,No,Yes,3,2023-12-13
1201,27,Male,Weekly,22,purchase,No,Yes,7,2023-12-14
1202,27,Male,Fortnightly,61,view,No,Yes,46,2023-12-15
1203,48,Male,Every 3 Months,29,like,No,Yes,14,2023-12-16
1204,40,Male,Annually,82,purchase,No,Yes,23,2023-12-17
1205,67,Male,Every 3 Months,94,purchase,No,Yes,20,2023-12-18
1206,52,Male,Fortnightly,99,view,No,Yes,38,2023-12-19
1207,22,Male,Every 3 Months,59,like,No,Yes,16,2023-12-20
1208,62,Male,Every 3 Months,90,view,No,Yes,48,2023-12-21
1209,20,Male,Annually,100,like,No,Yes,8,2023-12-22
1210,41,Male,Monthly,62,like,No,Yes,16,2023-12-23
1211,34,Male,Quarterly,78,purchase,No,Yes,5,2023-12-24
1212,23,Male,Every 3 Months,94,view,No,Yes,14,2023-12-25
1213,32,Male,Weekly,74,like,No,Yes,18,2023-12-26
1214,68,Male,Every 3 Months,52,purchase,No,Yes,14,2023-12-27
1215,30,Male,Every 3 Months,81,like,No,Yes,5,2023-12-28
1216,66,Male,Every 3 Months,20,like,No,Yes,15,2023-01-01
1217,62,Male,Every 3 Months,32,purchase,No,Yes,3,2022-12-28
1218,50,Male,Every 3 Months,63,view,No,Yes,12,2022-12-29
1219,55,Male,Every 3 Months,79,like,No,Yes,43,2022-12-30
1220,19,Male,Bi-Weekly,23,view,No,Yes,35,2022-12-31
1221,67,Male,Quarterly,64,like,No,Yes,36,2023-01-01
1222,18,Male,Quarterly,69,like,No,Yes,3,2023-01-02
1223,58,Male,Annually,69,purchase,No,Yes,27,2023-01-03
1224,69,Male,Weekly,24,view,No,Yes,21,2023-01-04
1225,62,Male,Weekly,50,like,No,Yes,18,2023-01-05
1226,28,Male,Weekly,97,purchase,No,Yes,16,2023-01-06
1227,53,Male,Bi-Weekly,91,purchase,No,Yes,18,2023-01-07
1228,27,Male,Bi-Weekly,37,view,No,Yes,19,2023-01-08
1229,55,Male,Annually,55,like,No,Yes,1,2023-01-09
1230,34,Male,Annually,52,view,No,Yes,39,2023-01-10
1231,25,Male,Monthly,80,like,No,Yes,49,2023-01-11
1232,66,Male,Fortnightly,79,purchase,No,Yes,43,2023-01-12
1233,57,Male,Every 3 Months,23,view,No,Yes,31,2023-01-13
1234,46,Male,Every 3 Months,73,like,No,Yes,40,2023-01-14
1235,38,Male,Bi-Weekly,99,view,No,Yes,2,2023-01-15
1236,23,Male,Every 3 Months,22,like,No,Yes,46,2023-01-16
1237,42,Male,Every 3 Months,68,like,No,Yes,35,2023-01-17
1238,25,Male,Quarterly,92,purchase,No,Yes,42,2023-01-18
1239,55,Male,Fortnightly,77,view,No,Yes,3,2023-01-19
1240,62,Male,Every 3 Months,37,like,No,Yes,32,2023-01-20
1241,41,Male,Annually,79,purchase,No,Yes,48,2023-01-21
1242,58,Male,Weekly,51,purchase,No,Yes,34,2023-01-22
1243,56,Male,Quarterly,27,view,No,Yes,15,2023-01-23
1244,25,Male,Annually,23,like,No,Yes,22,2023-01-24
1245,70,Male,Monthly,76,view,No,Yes,2,2023-01-25
1246,42,Male,Weekly,31,like,No,Yes,30,2023-01-26
1247,27,Male,Monthly,60,like,No,Yes,27,2023-01-27
1248,65,Male,Bi-Weekly,99,purchase,No,Yes,18,2023-01-28
1249,62,Male,Annually,37,view,No,Yes,8,2023-01-29
1250,62,Male,Fortnightly,50,like,No,Yes,48,2023-01-30
1251,52,Male,Monthly,26,purchase,No,Yes,24,2023-01-31
1252,56,Male,Monthly,86,purchase,No,Yes,43,2023-02-01
1253,28,Male,Quarterly,41,view,No,Yes,8,2023-02-02
1254,39,Male,Annually,23,like,No,Yes,49,2023-02-03
1255,54,Male,Bi-Weekly,56,view,No,Yes,2,2023-02-04
1256,30,Male,Fortnightly,68,like,No,Yes,38,2023-02-05
1257,45,Male,Fortnightly,48,purchase,No,Yes,4,2023-02-06
1258,68,Male,Every 3 Months,67,view,No,Yes,31,2023-02-07
1259,47,Male,Every 3 Months,87,like,No,Yes,34,2023-02-08
1260,68,Male,Monthly,64,view,No,Yes,45,2023-02-09
1261,63,Male,Quarterly,93,like,No,Yes,30,2023-02-10
1262,20,Male,Fortnightly,29,like,No,Yes,2,2023-02-11
1263,29,Male,Monthly,62,purchase,No,Yes,44,2023-02-12
1264,41,Male,Bi-Weekly,70,view,No,Yes,1,2023-02-13
1265,52,Male,Bi-Weekly,92,like,No,Yes,1,2023-02-14
1266,32,Male,Weekly,79,purchase,No,Yes,27,2023-02-15
1267,20,Male,Every 3 Months,31,purchase,No,Yes,14,2023-02-16
1268,47,Male,Weekly,83,view,No,Yes,41,2023-02-17
1269,23,Male,Bi-Weekly,88,like,No,Yes,25,2023-02-18
1270,43,Male,Quarterly,53,view,No,Yes,47,2023-02-19
1271,67,Male,Annually,98,like,No,Yes,20,2023-02-20
1272,70,Male,Annually,57,like,No,Yes,42,2023-02-21
1273,35,Male,Monthly,80,purchase,No,Yes,16,2023-10-10
1274,41,Male,Every 3 Months,29,view,No,Yes,32,2023-10-11
1275,54,Male,Quarterly,73,like,No,Yes,37,2023-10-12
1276,55,Male,Monthly,32,purchase,No,Yes,1,2023-10-13
1277,51,Male,Weekly,68,purchase,No,Yes,37,2023-10-14
1278,19,Male,Quarterly,97,purchase,No,Yes,5,2023-10-15
1279,28,Male,Fortnightly,98,view,No,Yes,31,2023-10-16
1280,63,Male,Annually,56,like,No,Yes,18,2023-10-17
1281,30,Male,Every 3 Months,78,view,No,Yes,39,2023-10-18
1282,29,Male,Bi-Weekly,81,like,No,Yes,8,2023-10-19
1283,24,Male,Monthly,68,like,No,Yes,20,2023-10-20
1284,69,Male,Every 3 Months,94,purchase,No,Yes,23,2023-10-21
1285,65,Male,Fortnightly,93,view,No,Yes,38,2023-10-22
1286,64,Male,Fortnightly,99,like,No,Yes,45,2023-10-23
1287,40,Male,Fortnightly,49,purchase,No,Yes,44,2023-10-24
1288,24,Male,Monthly,28,purchase,No,Yes,20,2023-10-25
1289,66,Male,Bi-Weekly,93,purchase,No,Yes,34,2023-10-26
1290,35,Male,Weekly,24,view,No,Yes,10,2023-10-27
1291,67,Male,Annually,35,like,No,Yes,3,2023-10-28
1292,69,Male,Fortnightly,68,view,No,Yes,23,2023-10-29
1293,26,Male,Annually,61,like,No,Yes,42,2023-10-30
1294,23,Male,Annually,74,like,No,Yes,30,2023-10-31
1295,27,Male,Every 3 Months,64,purchase,No,Yes,21,2023-11-01
1296,30,Male,Weekly,60,view,No,Yes,50,2023-11-02
1297,48,Male,Bi-Weekly,29,like,No,Yes,16,2023-11-03
1298,44,Male,Annually,85,purchase,No,Yes,32,2023-11-04
1299,29,Male,Fortnightly,81,purchase,No,Yes,14,2023-11-05
1300,29,Male,Bi-Weekly,23,view,No,Yes,42,2023-11-06
1301,67,Male,Every 3 Months,100,like,No,Yes,47,2023-11-07
1302,42,Male,Weekly,54,view,No,Yes,21,2023-11-08
1303,23,Male,Monthly,25,like,No,Yes,37,2023-11-09
1304,34,Male,Annually,32,like,No,Yes,10,2023-11-10
1305,64,Male,Every 3 Months,63,purchase,No,Yes,18,2023-11-11
1306,31,Male,Every 3 Months,56,view,No,Yes,2,2023-11-12
1307,54,Male,Annually,33,like,No,Yes,40,2023-11-13
1308,23,Male,Annually,32,purchase,No,Yes,43,2023-11-14
1309,59,Male,Every 3 Months,38,purchase,No,Yes,14,2023-11-15
1310,32,Male,Quarterly,21,view,No,Yes,41,2023-11-16
1311,43,Male,Every 3 Months,59,like,No,Yes,38,2023-11-17
1312,32,Male,Annually,87,view,No,Yes,12,2023-11-18
1313,66,Male,Monthly,79,like,No,Yes,19,2023-11-19
1314,70,Male,Bi-Weekly,28,like,No,Yes,23,2023-11-20
1315,42,Male,Annually,67,purchase,No,Yes,49,2023-11-21
1316,56,Male,Quarterly,75,view,No,Yes,29,2023-11-22
1317,28,Male,Bi-Weekly,32,like,No,Yes,14,2023-11-23
1318,28,Male,Monthly,43,view,No,Yes,19,2023-11-24
1319,52,Male,Bi-Weekly,93,like,No,Yes,19,2023-11-25
1320,65,Male,Weekly,24,like,No,Yes,48,2023-11-26
1321,56,Male,Annually,31,purchase,No,Yes,19,2023-11-27
1322,59,Male,Every 3 Months,84,view,No,Yes,45,2023-11-28
1323,23,Male,Quarterly,74,like,No,Yes,17,2023-11-29
1324,58,Male,Every 3 Months,62,purchase,No,Yes,15,2023-11-30
1325,39,Male,Fortnightly,77,purchase,No,Yes,11,2023-12-01
1326,28,Male,Monthly,73,purchase,No,Yes,1,2023-12-02
1327,40,Male,Monthly,50,view,No,Yes,17,2023-12-03
1328,52,Male,Weekly,40,like,No,Yes,37,2023-12-04
1329,37,Male,Weekly,97,view,No,Yes,40,2023-12-05
1330,70,Male,Every 3 Months,63,like,No,Yes,50,2023-12-06
1331,30,Male,Bi-Weekly,65,like,No,Yes,20,2023-12-07
1332,38,Male,Bi-Weekly,91,purchase,No,Yes,8,2023-12-08
1333,66,Male,Quarterly,60,view,No,Yes,16,2023-12-09
1334,29,Male,Quarterly,69,like,No,Yes,9,2023-12-10
1335,46,Male,Monthly,52,purchase,No,Yes,12,2023-12-11
1336,56,Male,Weekly,49,purchase,No,Yes,26,2023-12-12
